target,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref
Gal(a1-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31828568/
Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31828568/
Gal(b1-4)Glc3S-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31828568/
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31828568/
Gal(b1-6)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31828568/
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31828568/
Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
