target,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,inferred
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-6)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Glc3S-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Acinonyx_jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-6)Gal(b1-4)GlcNAc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-6)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)[GalNAc(b1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GalNAc(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GalNAc(b1-4)GlcNAc(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GalNAc(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GalNAc(b1-4)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)GlcNAc(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)GlcNAc(b1-6)[Gal(b1-4)]Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GalNAc(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(a1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-4)Gal(b1-4)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
